title,code,type,en,fr,status
Request Ride,LBL_REQUEST_RIDE,consumer,Request Ride,Demande tour,Active
Request a ride get picked up by a nearby community admin.,LBL_REQUEST_RIDE_DESC,consumer,Request a ride get picked up by a nearby community admin.,Demander un get tour ramassé par un conducteur communautaire à proximité.,Active
Confirm Your Admin,LBL_CONFIRM_YOUR_DRIVER,consumer,Confirm Your Admin,Confirmez votre pilote,Active
"Huge admins network helps you find comfortable, safe and cheap ride.",LBL_CONFIRM_YOUR_DRIVER_DESC,consumer,"Huge admins network helps you find comfortable, safe and cheap ride.","pilotes réseau énormes Contribue vous trouvez conduite confortable, sûr et pas cher.",Active
Track your Ride,LBL_TRACK_YOUR_RIDE,consumer,Track your Ride,Suivre bazou,Active
Know your admin in advance and be able to view current location in real time on the map.,LBL_TRACK_YOUR_RIDE_DESC,consumer,Know your admin in advance and be able to view current location in real time on the map.,Apprenez à connaître votre pilote à l'avance et être en mesure de visualiser l'emplacement actuel en temps réel sur la carte.,Active
Skip,LBL_SKIP,consumer,Skip,Sauter,Active
Get Started,LBL_GET_STARTED,consumer,Get Started,Commencer,Active
Next,LBL_NEXT,consumer,Next,Prochain,Active
"Fantastic, are you ready to get Fetched?",LBL_FANTASTIC_ARE_YOU_READY_TO_GET_FETCHED,consumer,"Fantastic, are you ready to get Fetched?","Fantastique, êtes-vous prêt à vous Tirée par les cheveux?",Active
Please enter your number,LBL_PLEASE_ENTER_YOUR_NUMBER,consumer,Please enter your number,S'il vous plaît entrer votre numéro,Active
Your number,LBL_YOUR_NUMBER,consumer,Your number,ton numéro,Active
Done,LBL_DONE,consumer,Done,terminé,Active
You don't have an account ?,LBL_YOU_DONT_HAVE_AN_ACCOUNT,consumer,You don't have an account ?,Vous n'avez un compte?,Active
Signup,LBL_SIGNUP,consumer,Signup,S'inscrire,Active
Create an Account,LBL_CREATE_AN_ACCOUNT,consumer,Create an Account,Créer un compte,Active
*No one has accept your request please try again,LBL_NO_ONE_HAS_ACCEPT_YOUR_REQUEST_PLEASE_TRY_AGAIN,consumer,No admin has accepted your request. Please try again later,Aucun pilote a accepté votre demande. Veuillez réessayer plus tard,Active
Last Name,LBL_LAST_NAME,consumer,Last Name,Nom de famille,Active
Your Email Address,LBL_YOUR_EMAIL_ADDRESS,consumer,Your Email Address,Votre adresse email,Active
Register,LBL_REGISTER,consumer,Register,S'inscrire,Active
Verify Mobile Number,LBL_VERIFY_MOBILE_NUMBER,consumer,Verify Mobile Number,Vérifier mobile Nombre,Active
OTP has been sent to your,LBL_OTP_HAS_BEEN_SENT_TO_YOUR,consumer,OTP has been sent to your,Bureau du Procureur a-été envoyé à votre,Active
please enter it.,LBL_PLEASE_ENTER_IT,consumer,Please enter it.,S'il vous plaît entrer.,Active
Didn’t receive OTP?,LBL_DIDNT_RECEIVE_OTP,consumer,Didn’t receive OTP?,N'a pas reçu du Bureau du Procureur?,Active
Resend code in,LBL_RESEND_CODE_IN,consumer,Resend OTP in,Bureau du Procureur en Renvoyer,Active
Resend Code,LBL_RESEND_CODE,consumer,Resend OTP,Bureau du Procureur Renvoyer,Active
Enter OTP,LBL_ENTER_OTP,consumer,Enter OTP,Entrez OTP,Active
Enter 4 Digit OTP,LBL_ENTER_4_DIGIT_OTP,consumer,Enter 4 Digit OTP,Entrez 4 chiffres OTP,Active
Please enter mobile number,LBL_PLEASE_ENTER_MOBILE_NUMBER,consumer,Please enter mobile number,S'il vous plaît entrer le numéro mobile,Active
Please enter valid mobile number,LBL_PLEASE_ENTER_VALID_MOBILE_NUMBER,consumer,Please enter valid mobile number,S'il vous plaît entrer le numéro de téléphone portable valide,Active
Please enter first name,LBL_PLEASE_ENTER_FIRST_NAME,consumer,Please enter first name,S'il vous plaît entrer le prénom,Active
Please enter last name,LBL_PLEASE_ENTER_LAST_NAME,consumer,Please enter last name,S'il vous plaît entrer nom,Active
Please enter email ID,LBL_PLEASE_ENTER_EMAIL_ID,consumer,Please enter email ID,S'il vous plaît entrer email ID,Active
Please enter valid email ID,LBL_PLEASE_ENTER_VALID_EMAIL_ID,consumer,Please enter valid email ID,S'il vous plaît entrer l'ID email valide,Active
Your pickup location?,LBL_YOUR_PICKUP_LOCATION,consumer,Your pickup location?,Votre emplacement pick-up?,Active
Your drop off location?,LBL_YOUR_DROP_OFF_LOCATION,consumer,Your drop off location?,Votre Ville de retour?,Active
Favorite Places,LBL_FAVORITE_PLACES,consumer,Favorite Places,Lieux préférés,Active
Recently Visited Places,LBL_RECENTLY_VISITED_PLACES,consumer,Recently Visited Places,Endroits récemment visités,Active
Tap to select from the map,LBL_TAP_TO_SELECT_FROM_THE_MAP,consumer,Tap to select from the map,Appuyez sur pour sélectionner la carte,Active
Contact Us,LBL_CONTACT_US,consumer,Contact Us,Nous contacter,Active
Need Help?,LBL_NEED_HELP,consumer,Need Help?,Besoin d'aide?,Active
Our customer care team will be in  touch with you within the next  12 hours.,LBL_OUR_CUSTOMER_CARE_TEAM_WILL_BE_IN_ TOUCH_WITH_YOU_WITHIN_THE_NEXT_ 12_HOURS,consumer,Our customer care team will be in  touch with you within the next 12 hours.,Notre équipe de service à la clientèle sera en contact avec vous dans les 12 heures le lendemain.,Active
Send,LBL_SEND,consumer,Send,Envoyer,Active
Type your Message here,LBL_TYPE_YOUR_MESSAGE_HERE,consumer,Type your Message here,tapez votre message ici,Active
Enter Full Name,LBL_ENTER_FULL_NAME,consumer,Enter Full Name,Entrez le nom complet,Active
Profile,LBL_PROFILE,consumer,Profile,Profil,Active
Our customer care team will be in  touch with you within the next  12 hours.,LBL_OUR_CUSTOMER_CARE_TEAM_WILL_BE_IN_TOUCH_WITH_YOU_WITHIN_THE_NEXT_12_HOURS,consumer,Our customer care team will be in  touch with you within the next 12 hours.,Notre équipe de service à la clientèle sera en contact avec vous dans les 12 heures le lendemain.,Active
Please enter message,LBL_PLEASE_ENTER_MESSAGE,consumer,Please enter message,S'il vous plaît entrer un message,Active
your message submitted successfully,LBL_YOUR_MESSAGE_SUBMITTED_SUCCESSFULLY,consumer,Your message submitted successfully,Votre message envoyé avec succès,Active
Update,LBL_UPDATE,consumer,Update,Mettre à jour,Active
OTP Verification,LBL_OTP_VERIFICATION,consumer,OTP Verification,Vérification du Bureau du Procureur,Active
Invalid OTP,LBL_INVALID_OTP,consumer,Invalid OTP,OTP non valide,Active
OTP verified successfully,LBL_OTP_VERIFIED_SUCCESSFULLY,consumer,OTP verified successfully,OTP vérifié avec succès,Active
Help Center,LBL_HELP_CENTER,consumer,Help Center,Centre d'aide,Active
Browse help topics,LBL_BROWSE_HELP_TOPICS,consumer,Browse help topics,Parcourir les rubriques d'aide,Active
Apply,LBL_APPLY,consumer,Apply,Appliquer,Active
Accept a Job,LBL_ACCEPT_A_JOB,admin,Accept a Job,Accepter un emploi,Active
"Work with your convenience, take the job whenever you need it.",LBL_ACCEPT_A_JOB_DESC,admin,"Work with your convenience,take the job whenever you need it.","Travaillez avec votre commodité, prenez le travail dont vous avez besoin chaque fois.",Active
Tracking Realtime,LBL_TRACKING_REALTIME,admin,Tracking Realtime,le suivi en temps réel,Active
know where your customer is currently located with the real-time tracking.,LBL_TRACKING_REALTIME_DESC,admin,know where your customer is currently located with the real-time tracking.,Où est votre savoir client se trouvent actuellement avec le suivi en temps réel.,Active
Earn Money,LBL_EARN_MONEY,admin,Earn Money,Gagner de l'argent,Active
Take up the number of jobs and increase your earnings.,LBL_EARN_MONEY_DESC,admin,Take up the number of jobs and increase your earnings.,Prenez le nombre d'emplois et augmenter vos gains.,Active
Get Started,LBL_GET_STARTED,admin,Get Started,Commencer,Active
Skip,LBL_SKIP,admin,Skip,Sauter,Active
